Folio interno,Nombre de la mascota ,Sexo,Tamaño,Grupo etario
97,Ahuiliztli,Macho,Chico,Geriatrico
98,Centeotl,Macho,Chico,Geriatrico
99,Chalchiuhtlicue,Hembra,Mediano,Adulto
100,Chichiltic,Macho,Mediano,Adulto
101,Acamapichtli,Hembra,Mediano,Geriatrico
102,Altepetl,Macho,Chico,Adulto
103,Amacuahuitl,Macho,Chico,Adulto
104,Ayauhtli,Macho,Mediano,Geriatrico
105,Atzin,Hembra,Mediano,Adulto
106,Cacahuatl,Hembra,Grande,Adulto
107,Yiki,Hembra,Mediano,Geriatrico
108,Cempoalxochitl,Hembra,Grande,Adulto
109,Capulin,Macho,Mediano,Adulto
110,Chalchihuitl,Hembra,Mediano,Adulto
111,Chayotli,Hembra,Grande,Geriatrico
112,Chian,Hembra,Mediano,Adulto
113,Chichicastli,Hembra,Mediano,Geriatrico
114,Chilpoctli,Hembra,Grande,Adulto
115,Cipactli,Macho,Mediano,Adulto
116,Citlalmina,Hembra,Grande,Adulto
117,kava,Hembra,Grande,Adulto
118,Yoko,Hembra,Grande,Adulto
119,Ze,Hembra,Grande,Adulto
120,Cuicatl,Hembra,Grande,Adulto
121,Eloxochitl,Hembra,Mediano,Adulto
122,Epazotl,Hembra,Mediano,Geriatrico
123,Eztli,Macho,Grande,Adulto
124,Huanacaxtle,Macho,Mediano,Geriatrico
125,Huixachi,Hembra,Grande,Adulto
126,Ilamatecuhtli,Macho,Mediano,Geriatrico
127,Ki,Macho,Mediano,Adulto
128,Iztaccihuatl,Macho,Mediano,Adulto
129,Xicamatl,Macho,Grande,Geriatrico
130,Macuilxochitl,Macho,Grande,Adulto
131,Matlal,Hembra,Mediano,Adulto
132,Metlatl,Macho,Mediano,Adulto
133,Mictlan,Macho,Grande,Adulto
134,Mixcoatl,Hembra,Mediano,Adulto
135,Mixtli,Macho,Mediano,Geriatrico
136,Molcaxitl,Macho,Grande,Adulto
137,Nantli,Hembra,Grande,Geriatrico
138,Nopalli,Hembra,Chico,Adulto
139,Oceloxochitl,Hembra,Grande,Adulto
140,Ocotl,Macho,Mediano,Geriatrico
141,Omeyocan,Macho,Grande,Adulto
142,Panalli,Hembra,Grande,Adulto
143,Petlatl,Hembra,Mediano,Adulto
144,Peyotl,Hembra,Grande,Geriatrico
145,Picietl,Hembra,Mediano,Adulto
146,Pinolli,Macho,Grande,Adulto
147,Pochotl,Macho,Mediano,Adulto
148,Quiahuiztlan,Hembra,Chico,Geriatrico
149,Tlane,Hembra,Mediano,Adulto
150,Teotl,Macho,Mediano,Adulto
151,Teponaxtli,Hembra,Mediano,Adulto
152,Teyolia,Hembra,Chico,Geriatrico
153,Tecuixpo,Macho,Chico,Geriatrico
154,Tlaxcalli,Hembra,Chico,Adulto
155,Tolteca,Macho,Chico,Adulto
156,Tepezcuintle,Macho,Chico,Geriatrico
157,Tlacuatzin,Macho,Mediano,Geriatrico
158,Topiltzin,Hembra,Mediano,Geriatrico
159,Tullin,Macho,Mediano,Adulto
160,Tzintzuni,Macho,Grande,Adulto
161,Tlilxochitl,Hembra,Mediano,Adulto
162,Xalapa,Hembra,Mediano,Adulto
163,Xilonen,Macho,Mediano,Geriatrico
164,Xitomatl,Hembra,Mediano,Geriatrico
165,Xochicuahuitl,Hembra,Mediano,Geriatrico
166,Zacatepetl,Macho,Mediano,Adulto
167,Xochiquetzal,Hembra,Mediano,Geriatrico
168,Xoconochtli,Hembra,Mediano,Geriatrico
169,Yacatecuhtli,Hembra,Mediano,Adulto
170,Axolotl,Macho,Mediano,Adulto
171,Xochipilli,Hembra,Grande,Adulto
172,Centzontli,Macho,Mediano,Geriatrico
173,Ziyanya,Hembra,Mediano,Adulto
174,Yali,Hembra,Mediano,Geriatrico
175,Cuicacoche,Macho,Mediano,Geriatrico
176,Cacomiztli,Macho,Mediano,Adulto
177,Chachalacatl,Macho,Mediano,Adulto
178,Ayotochtli,Hembra,Mediano,Geriatrico
179,Mapachtli,Hembra,Mediano,Adulto
180,Nohualli,Macho,Mediano,Adulto
181,Quetzalcoatl,Macho,Mediano,Adulto
182,Techichi,Macho,Mediano,Adulto
183,Tonalli,Hembra,Mediano,Adulto
184,Tonantzin,Hembra,Mediano,Adulto
185,Xoloitzcuintli,Macho,Mediano,Adulto
186,Ahuiltzin,Hembra,Mediano,Adulto
187,Cuauhyotl,Macho,Grande,Adulto
188,Ihtia,Hembra,Mediano,Adulto
190,Ixtlilton,Macho,Mediano,Adulto
191,Ilancueitl,Hembra,Mediano,Geriatrico
192,Mictlantecuhtli,Hembra,Chico,Adulto
193,Nenetl,Hembra,Mediano,Geriatrico
194,Tepeyacac,Hembra,Mediano,Geriatrico
195,Pitzotl,Macho,Mediano,Adulto
196,Ometeotl,Macho,Mediano,Adulto
197,Toci,Hembra,Mediano,Adulto
198,Amoxtli,Hembra,Mediano,Geriatrico
199,Xopan,Hembra,Mediano,Adulto
200,Yucu,Hembra,Mediano,Geriatrico
201,Acocil,Hembra,Mediano,Adulto
202,Ahuatl,Macho,Grande,Adulto
203,Ayoxochitl,Hembra,Mediano,Adulto
204,Cahualli,Hembra,Mediano,Adulto
205,Cuetlaxochitl,Hembra,Mediano,Adulto
206,Ehecacoatl,Macho,Chico,Adulto
207,Elotl,Hembra,Mediano,Geriatrico
208,Ezpitzal,Hembra,Chico,Adulto
209,Huexotl,Hembra,Mediano,Adulto
210,Huitzilopochtli,Hembra,Mediano,Geriatrico
211,Ichcatl,Hembra,Mediano,Adulto
212,Ichtli,Macho,Grande,Adulto
213,Icpalli,Hembra,Mediano,Adulto
214,Ilhuicamina,Hembra,Mediano,Adulto
215,Itzcoatl,Hembra,Mediano,Adulto
216,Ixcuina,Macho,Mediano,Adulto
217,Mahuiztic,Macho,Mediano,Adulto
218,Mazacoatl,Hembra,Chico,Adulto
219,Michin,Macho,Mediano,Adulto
220,Mixtecatl,Hembra,Mediano,Adulto
221,Mocel,Macho,Chico,Adulto
222,Nezahualcoyotl,Macho,Chico,Adulto
224,Nahu,Hembra,Mediano,Geriatrico
225,Nezahualpilli,Hembra,Mediano,Adulto
226,Ocelopan,Macho,Chico,Geriatrico
227,Teocuitlatl,Hembra,Mediano,Adulto
228,Teoxihuitl,Hembra,Mediano,Adulto
229,Teyac,Hembra,Mediano,Geriatrico
230,Tlacotl,Macho,Mediano,Adulto
231,Tianquiztli,Hembra,Mediano,Geriatrico
232,Tlaloque,Macho,Mediano,Adulto
233,Tlamatini,Macho,Mediano,Adulto
234,Tlanextli,Macho,Mediano,Adulto
235,Tlatoani,Hembra,Mediano,Adulto
236,Tlazohtzin,Hembra,Mediano,Adulto
237,Toltecatl,Macho,Mediano,Adulto
238,Totonal,Hembra,Mediano,Geriatrico
239,Tzictli,Macho,Mediano,Adulto
240,Xaltocan,Hembra,Mediano,Geriatrico
241,Xiuhcoatl,Hembra,Mediano,Adulto
242,Xiuhpilli,Macho,Mediano,Adulto
243,Yeyetzi,Macho,Mediano,Geriatrico
244,Yolihuani,Macho,Mediano,Adulto
245,Zompantli,Macho,Mediano,Adulto
246,Akbal,Macho,Mediano,Adulto
247,Alom,Macho,Mediano,Adulto
249,Caban,Hembra,Mediano,Geriatrico
250,Cacau,Macho,Mediano,Adulto
251,Cauac,Hembra,Mediano,Adulto
252,Ceel,Hembra,Mediano,Geriatrico
254,Chalam,Macho,Mediano,Adulto
255,Tsiri,Hembra,Mediano,Geriatrico
256,Chulel,Hembra,Mediano,Adulto
257,Chilam,Macho,Mediano,Geriatrico
259,Etznab,Hembra,Mediano,Adulto
261,Hunab,Macho,Mediano,Adulto
262,Hunabku,Hembra,Mediano,Adulto
263,Itza,Hembra,Mediano,Adulto
264,Imix,Macho,Grande,Adulto
265,Kisin,Hembra,Chico,Adulto
266,Kabil,Hembra,Mediano,Adulto
267,Kakmo,Macho,Mediano,Adulto
268,Kante,Hembra,Mediano,Adulto
269,Kaxan,Hembra,Mediano,Adulto
270,Ixbalanque,Macho,Mediano,Adulto
271,Likin,Hembra,Mediano,Adulto
272,Lamat,Hembra,Mediano,Adulto
273,Kukulcan,Macho,Mediano,Adulto
274,Muluc,Macho,Grande,Adulto
275,Manik,Hembra,Mediano,Geriatrico
276,Nacom,Macho,Mediano,Adulto
277,Pixan,Hembra,Mediano,Adulto
278,Pauahtun,Hembra,Mediano,Adulto
279,Nohoch,Macho,Mediano,Adulto
280,Puksiik,Hembra,Mediano,Adulto
281,Saci,Hembra,Mediano,Adulto
282,Sak,Macho,Mediano,Adulto
283,Sotz,Macho,Mediano,Adulto
285,Toh,Macho,Mediano,Adulto
286,Tzak,Hembra,Mediano,Adulto
287,Tzimin,Hembra,Mediano,Adulto
288,Uayeb,Macho,Mediano,Geriatrico
289,Uinal,Macho,Mediano,Adulto
290,Uinic,Macho,Grande,Adulto
291,Votan,Macho,Mediano,Adulto
292,Xaman,Hembra,Mediano,Adulto
293,Xibalba,Hembra,Mediano,Adulto
294,Benda,Hembra,Mediano,Adulto
295,Yax,Hembra,Mediano,Adulto
296,Yaxche,Hembra,Mediano,Adulto
297,Yumil,Macho,Mediano,Adulto
298,Yumkaax,Macho,Mediano,Adulto
299,Balaa,Hembra,Mediano,Cachorro
300,Bani,Macho,Grande,Adulto
301,Yaluk,Macho,Mediano,Adulto
305,Beza,Hembra,Grande,Adulto
306,Bila,Macho,Grande,Adulto
307,Biza,Macho,Mediano,Adulto
308,Bupu,Hembra,Mediano,Adulto
309,Dani,Hembra,Mediano,Adulto
310,Gita,Macho,Mediano,Adulto
311,Gubi,Hembra,Mediano,Adulto
312,Nisa,Hembra,Mediano,Adulto
313,Pita,Hembra,Grande,Adulto
314,Pee,Macho,Mediano,Geriatrico
315,Quie,Macho,Mediano,Adulto
316,Xiga,Macho,Mediano,Adulto
317,Xilase,Hembra,Mediano,Adulto
318,Xoo,Macho,Grande,Geriatrico
319,Zita,Hembra,Mediano,Adulto
320,Yoo,Macho,Mediano,Adulto
321,Yaba,Hembra,Mediano,Adulto
322,Ita,Hembra,Mediano,Adulto
323,Nuu,Hembra,Grande,Geriatrico
324,Savi,Hembra,Mediano,Geriatrico
325,Viko,Macho,Grande,Adulto
326,Tachi,Hembra,Mediano,Adulto
327,Yukun,Hembra,Grande,Adulto
328,Kuin,Macho,Grande,Geriatrico
329,Ahuic,Macho,Mediano,Geriatrico
330,Amoxli,Macho,Grande,Adulto
331,Chalchiuh,Macho,Mediano,Adulto
332,Cuerauaperi,Hembra,Mediano,Geriatrico
333,Curicaueri,Macho,Mediano,Adulto
334,Erandi,Hembra,Mediano,Geriatrico
335,Huriata,Macho,Grande,Adulto
336,Itsi,Hembra,Grande,Adulto
337,Janikua,Hembra,Mediano,Adulto
338,Jurhiata,Hembra,Grande,Adulto
339,Yuta,Hembra,Grande,Adulto
341,Mintzita,Hembra,Grande,Adulto
342,Pirekua,Hembra,Mediano,Adulto
343,Purhembe,Macho,Grande,Adulto
344,Tariacuri,Macho,Grande,Adulto
345,Tireti,Macho,Chico,Adulto
346,Sikua,Hembra,Chico,Adulto
347,Xarhi,Hembra,Chico,Geriatrico
348,Uekakua,Hembra,Chico,Geriatrico
349,Acali,Hembra,Mediano,Geriatrico
350,Acatzin,Hembra,Chico,Adulto
351,Amba,Hembra,Chico,Geriatrico
352,Atari,Hembra,Chico,Geriatrico
353,Anahuac,Hembra,Mediano,Adulto
354,Atla,Hembra,Chico,Adulto
355,Ayocuan,Hembra,Mediano,Adulto
356,Caltzontzin,Hembra,Mediano,Adulto
357,Chantico,Macho,Mediano,Adulto
358,Atsiri,Hembra,Mediano,Adulto
359,Xidä,Macho,Grande,Geriatrico
360,Tlaolli,Hembra,Grande,Adulto
361,Ndaha,Hembra,Mediano,Geriatrico
362,Citlaltzin,Macho,Grande,Adulto
363,Cuauhtzin,Hembra,Grande,Geriatrico
364,Ehecatzin,Hembra,Mediano,Geriatrico
365,Icnocuicatl,Hembra,Mediano,Adulto
